City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Labrea,BR,-7.2586,-64.7981,71.26,61,27,1.9,scattered clouds
80,Namatanai,PG,-3.6667,152.4333,83.12,74,26,11.1,scattered clouds
81,East London,ZA,-33.0153,27.9116,47.34,87,0,4.61,clear sky
82,Savinka,RU,50.0785,47.0994,77.05,49,48,6.24,scattered clouds
83,Pangnirtung,CA,66.1451,-65.7125,43.05,86,52,4.38,broken clouds
84,Arman,RU,59.7,150.1667,75.02,73,3,6.85,clear sky
85,Cape Town,ZA,-33.9258,18.4232,58.12,68,0,3.44,clear sky
86,Big Rapids,US,43.6981,-85.4837,57.27,94,0,0.0,clear sky
87,Port-Cartier,CA,50.0334,-66.8654,62.28,89,85,12.91,overcast clouds
88,Ilulissat,GL,69.2167,-51.1,44.62,93,100,0.0,overcast clouds
89,Buala,SB,-8.145,159.5921,84.18,70,16,7.4,few clouds
90,Kaitangata,NZ,-46.2817,169.8464,45.19,94,100,17.0,overcast clouds
91,Lompoc,US,34.6391,-120.4579,58.51,86,100,7.0,overcast clouds
92,Bethel,US,41.3712,-73.414,73.76,64,100,9.22,overcast clouds
93,Camacha,PT,33.0833,-16.3333,67.42,88,40,13.8,scattered clouds
94,Chuy,UY,-33.6971,-53.4616,57.54,97,95,8.52,overcast clouds
95,Pevek,RU,69.7008,170.3133,37.83,74,67,13.02,broken clouds
96,Naze,JP,28.3667,129.4833,86.92,71,37,6.89,scattered clouds
97,Alta Floresta,BR,-9.8756,-56.0861,66.74,51,85,2.46,overcast clouds
98,Dalvik,IS,65.9702,-18.5286,49.93,88,99,3.91,overcast clouds
99,Atuona,PF,-9.8,-139.0333,77.79,67,0,12.95,clear sky
100,Sampit,ID,-2.5333,112.95,81.73,86,60,4.65,broken clouds
101,Bluff,NZ,-46.6,168.3333,44.8,90,100,26.73,overcast clouds
102,Narsaq,GL,60.9167,-46.05,48.42,89,100,1.45,overcast clouds
103,Verkhoyansk,RU,67.5447,133.385,82.9,38,76,3.31,broken clouds
104,Alofi,NU,-19.0595,-169.9187,71.49,73,44,11.5,scattered clouds
105,Port Blair,IN,11.6667,92.75,87.84,70,40,11.5,scattered clouds
106,Xushan,CN,30.1764,121.2457,96.73,53,81,4.99,broken clouds
107,Ucluelet,CA,48.9329,-125.5528,67.08,82,7,3.06,clear sky
108,Ayan,RU,56.45,138.1667,57.25,84,100,6.2,overcast clouds
109,Derzhavinsk,KZ,51.1,66.3167,85.3,27,100,17.27,overcast clouds
110,Lazarev,RU,52.225,141.5131,61.18,79,100,6.44,overcast clouds
111,Zhigansk,RU,66.7697,123.3711,75.58,43,14,3.53,few clouds
112,Nikolskoye,RU,59.7035,30.7861,70.88,65,90,3.67,overcast clouds
113,Kapit,MY,2.0167,112.9333,89.82,56,99,0.81,overcast clouds
114,Mangaratiba,BR,-22.9597,-44.0406,63.46,76,25,1.81,scattered clouds
115,Esna,EG,25.2934,32.554,92.1,16,16,11.52,few clouds
116,Gaya,IN,24.7833,85.0,93.11,59,40,0.0,haze
117,Nemuro,JP,43.3236,145.575,65.95,87,2,10.13,clear sky
118,Qaqortoq,GL,60.7167,-46.0333,43.12,95,100,3.91,overcast clouds
119,Usolye,RU,59.4268,56.6808,67.78,49,97,8.95,overcast clouds
120,Castro,BR,-24.7911,-50.0119,55.47,75,58,2.93,broken clouds
121,Progreso,MX,21.2833,-89.6667,79.11,76,33,11.74,scattered clouds
122,Saskylakh,RU,71.9167,114.0833,77.99,54,82,5.23,broken clouds
123,Tawang,IN,27.5833,91.8667,62.73,85,98,5.19,overcast clouds
124,Becerril,CO,9.7041,-73.2793,72.48,94,93,2.66,overcast clouds
125,Asau,RO,46.4333,26.4,65.32,42,4,1.74,clear sky
126,Buenos Aires,AR,-34.6132,-58.3772,61.95,96,0,5.75,clear sky
127,Todos Santos,MX,23.45,-110.2167,83.3,87,13,4.68,few clouds
128,Ust-Tsilma,RU,65.441,52.1498,61.56,42,89,10.51,overcast clouds
129,Hirara,JP,24.8,125.2833,91.67,62,40,11.5,scattered clouds
130,Souillac,MU,-20.5167,57.5167,73.78,73,75,11.5,broken clouds
131,Oktyabrskiy,RU,54.4815,53.471,74.12,62,18,3.65,few clouds
132,Esperance,AU,-33.8667,121.9,64.47,44,53,18.97,broken clouds
133,Oussouye,SN,12.485,-16.5469,76.14,89,97,5.84,moderate rain
134,Mitsamiouli,KM,-11.3847,43.2844,77.29,65,20,8.05,few clouds
135,Bukachacha,RU,52.9833,116.9167,64.11,97,100,2.82,moderate rain
136,Vila,PT,42.0304,-8.1588,52.7,88,0,2.89,clear sky
137,Yakima,US,46.4665,-120.6678,85.84,46,0,6.91,clear sky
138,Hithadhoo,MV,-0.6,73.0833,82.72,75,14,14.67,few clouds
139,Penzance,GB,50.1186,-5.5371,59.68,71,95,13.44,overcast clouds
140,Yellowknife,CA,62.456,-114.3525,61.32,67,20,8.05,few clouds
141,Sur,OM,22.5667,59.5289,86.32,68,100,5.57,overcast clouds
142,Mweka,CD,-4.85,21.5667,75.06,48,93,0.67,overcast clouds
143,Aykhal,RU,66.0,111.5,75.96,65,100,11.95,overcast clouds
144,Lewiston,US,44.1003,-70.2148,67.39,94,0,0.0,clear sky
145,Hilo,US,19.7297,-155.09,78.28,93,100,8.05,mist
146,Chingirlau,KZ,51.095,54.0814,78.08,47,29,1.36,scattered clouds
147,Ahipara,NZ,-35.1667,173.1667,55.38,81,93,20.94,overcast clouds
148,Cockburn Town,TC,21.4612,-71.1419,81.75,84,28,24.85,scattered clouds
149,Carnarvon,AU,-24.8667,113.6333,70.72,37,0,7.23,clear sky
150,Puerto Escondido,MX,15.85,-97.0667,78.1,82,70,3.42,broken clouds
151,General Roca,AR,-39.0333,-67.5833,44.02,94,100,10.02,overcast clouds
152,Bacolod,PH,10.6667,122.95,85.86,73,70,10.69,broken clouds
153,Slave Lake,CA,55.2834,-114.769,64.38,72,100,5.75,overcast clouds
154,Ca Mau,VN,9.1769,105.15,89.65,62,98,3.56,overcast clouds
155,Arucas,ES,28.1198,-15.5233,77.77,60,18,7.54,few clouds
156,Meulaboh,ID,4.1363,96.1285,80.46,78,100,2.48,light rain
157,Lufilufi,WS,-13.8745,-171.5986,78.58,77,88,18.34,overcast clouds
158,Klaksvik,FO,62.2266,-6.589,49.12,78,43,4.92,scattered clouds
159,Victoria,HK,22.2855,114.1577,95.97,68,30,15.01,scattered clouds
160,Krasnoselkup,RU,65.7,82.4667,63.09,56,100,6.51,overcast clouds
161,Bonthe,SL,7.5264,-12.505,75.07,77,59,1.9,broken clouds
162,Yumen,CN,40.2833,97.2,87.21,12,48,15.66,scattered clouds
163,Nova Olimpia,BR,-14.7972,-57.2881,68.56,49,44,3.04,scattered clouds
164,Mishan,CN,45.55,131.8833,80.82,69,41,0.96,scattered clouds
165,Mahebourg,MU,-20.4081,57.7,74.25,73,75,11.5,broken clouds
166,Kirakira,SB,-10.4544,161.9205,82.36,78,28,9.51,scattered clouds
167,Tuktoyaktuk,CA,69.4541,-133.0374,59.0,77,75,17.27,broken clouds
168,Damghan,IR,36.1683,54.348,86.25,33,67,4.21,broken clouds
169,Isla Vista,US,34.4133,-119.861,64.02,73,0,0.0,clear sky
170,Ostrovnoy,RU,68.0531,39.5131,57.92,65,80,17.29,broken clouds
171,Noumea,NC,-22.2763,166.4572,69.78,65,75,7.65,broken clouds
172,Belaya Gora,RU,68.5333,146.4167,66.88,32,94,12.93,overcast clouds
173,Barberton,ZA,-25.7884,31.0532,44.65,58,0,2.77,clear sky
174,Nichinan,JP,31.6,131.3667,83.88,77,24,4.97,few clouds
175,Saldanha,ZA,-33.0117,17.9442,46.45,47,1,4.68,clear sky
176,Faanui,PF,-16.4833,-151.75,79.07,71,62,10.49,light rain
177,Sao Pedro Do Sul,BR,-29.6206,-54.1789,61.92,95,4,4.83,clear sky
178,Yantzaza,EC,-3.8278,-78.7594,65.05,99,80,0.85,light rain
179,Olga,RU,43.7444,135.2892,77.14,71,95,6.44,overcast clouds
180,Farafangana,MG,-22.8167,47.8333,70.2,79,43,4.45,scattered clouds
181,Port Hardy,CA,50.6996,-127.4199,60.98,88,20,3.44,fog
182,Chulman,RU,56.8479,124.9104,83.66,42,10,4.12,clear sky
183,Kodiak,US,57.79,-152.4072,58.51,58,40,9.22,scattered clouds
184,Lincoln,US,40.8,-96.667,68.54,89,100,4.0,overcast clouds
185,Bathsheba,BB,13.2167,-59.5167,81.21,94,40,14.97,scattered clouds
186,Hinton,CA,53.4001,-117.5857,55.09,85,54,2.13,broken clouds
187,Viedma,AR,-40.8135,-62.9967,48.52,96,100,5.82,overcast clouds
188,Atambua,ID,-9.1061,124.8925,82.72,46,29,1.57,scattered clouds
189,Airai,TL,-8.9266,125.4092,73.11,41,20,4.83,few clouds
190,Balikpapan,ID,-1.2675,116.8289,79.79,100,20,4.61,few clouds
191,Qaanaaq,GL,77.484,-69.3632,37.62,70,2,4.14,clear sky
192,Khatanga,RU,71.9667,102.5,79.97,31,1,1.68,clear sky
193,Sinnamary,GF,5.3833,-52.95,77.14,88,60,5.26,broken clouds
194,Hofn,IS,64.2539,-15.2082,51.98,82,18,0.67,few clouds
195,Severo-Yeniseyskiy,RU,60.3725,93.0408,57.24,93,100,4.63,light rain
196,Lorengau,PG,-2.0226,147.2712,83.71,72,51,10.83,broken clouds
197,Graham,US,47.0529,-122.2943,74.97,71,0,0.0,clear sky
198,Severo-Kurilsk,RU,50.6789,156.125,54.5,82,49,6.55,scattered clouds
199,Yeppoon,AU,-23.1333,150.7333,76.78,67,2,4.61,clear sky
