City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
585,Aleksandrov Gay,RU,75.43,broken clouds,50.147,48.5704,Gostinitsa
600,Kipini,KE,77.29,light rain,-2.5257,40.5262,Delta Sea Mall
618,Basar,IN,77.02,overcast clouds,27.9833,94.6667,Dolma Group of Hotels
621,Severnoye,RU,75.81,scattered clouds,56.3491,78.3619,Gostinitsa Severyanka
633,Elk Plain,US,75.07,clear sky,47.0532,-122.3976,Loveland Mobile Estates
648,Cienfuegos,CU,77.14,scattered clouds,22.1461,-80.4356,Casa Claumar B2BPay
650,Laguna,US,77.45,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
653,Asyut,EG,78.98,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
656,Coahuayana,MX,76.89,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
668,Lusambo,CD,78.85,overcast clouds,-4.9667,23.45,
670,Daru,PG,77.04,overcast clouds,-9.0763,143.2092,Daru Lodge
675,Salalah,OM,76.44,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
694,Sukhobezvodnoye,RU,75.27,few clouds,57.0491,44.8891,
